Crop,Variety testing name/code,Offici al Rele ase Name,Year of rele ase,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
MAIZE,"169. KH500
-48A","KH50
0-
48A",2010,KARI,"KARI-
Muguga
South",1400-1800,4-5,6-7," Resistant to MSV, GLS
and Turcicum blight
 Flint grains
 Dual purpose
 Large cobs"
MAIZE,"170. KH500
-42A","KH50
0-
42A",2010,KARI,"KARI-
Muguga
South",1400-1800,4-5,6-7," Resistant to MSV, GLS
and Turcicum blight
 Dual purpose
 Flint like –
intermediate grains
 Large cobs"
MAIZE,"171. KH500
-49A","KH50
0-
49A",2010,KARI,"KARI-
Muguga
South",1400-1800,4-5,6-7," Resistant to MSV, GLS
and Turcicum blight,
Dual purpose
 Intermediate –dent
grains
 Medium size cobs
 Grown in medium
altitude transitional
areas"
MAIZE,"172. WH40
6","WH4
06",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd",1000 - 1700,5-6,6 - 8," V. good tolerance to
MSV, GLS and Blight
 Strong Green stem at
harvest , use as cattle
fodder"
MAIZE,"173. WH00
3","WH0
03",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd",0 - 1000,3-4,5," V. good Tolerance to
MSV/GLS
 Good tolerance to
Drought and low
nitrogen"
MAIZE,"174. WH60
5","WH6
05",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","High potential
zone 1500-
2100m.a.s.l",5-6,6-9," Good tolerance to
MSV, GLS and Blight
 Strong Green stems at
harvest, use as cattle
fodder
 Good tolerance to low
Nitrogen"
MAIZE,"175. WH40
4","WH4
04",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","Medium
altitude zone,
1000-1700
m.a.s.l",5-6,6-8," V. good tolerance to
MSV, GLS and blight
 Strong Green stem at
harvest used as cattle
fodder"
MAIZE,"176. WH30
2","WH3
02",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","Transitional
and Early, Low
potential zone
0-1500 m.a.s.l",4-5,4-6," V. good tolerance to
MSV/GLS
 Good tolerance to
Drought and Low
Nitrogen
 Suitable for short 2nd
season planting"
MAIZE,"177. WH60
2","WH6
02",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","High potential
zone 1500-
2000 m.a.s.l",5.5-6.5,7-10," Tolerant to MSV, GLS
and Rust
 Tolerant to drought
and Low nitrogen
 Tolerant to lodging"
MAIZE,"178. WH50
8","WH5
08",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","Medium to
High 1000-
1700 m.a.s.l",5-6,6-9," Tolerant to MSV/GLS
and Blight
 Tolerant to
Drought/Low
Nitrogen
 Strong ever Green
stems at harvest"
MAIZE,"179. WH50
7","WH5
07",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","Medium to
High 1000-
1700 m.a.s.l",5-6,6-9," Tolerant to MSV/GLS
and Blight
 Tolerant to
Drought/Low
Nitrogen
 Strong ever Green
stems at harvest"
MAIZE,"180. WH40
1","WH4
01",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","Medium
potential zone
0-1500 m.a.s.l",4-5,5-7," Tolerant to MSV/GLS
and Blight
 Tolerant to Drought
and Low Nitrogen."
MAIZE,"181. WH40
2","WH4
02",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","Medium to
Late 0-1700
m.a.s.l",4.5 – 5.5,5-8," Tolerant to MSV/GLS
and Blight
 Ever Green strong
stem at harvest-
suitable for fodder"
MAIZE,"182. WH30
1","WH3
01",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd",0-1500 m.a.s.l,4-5.0,4.6," Tolerant to MSV, GLS
and Blight
 Tolerant to Drought
and Low Nitrogen
 Particularly suitable
for green maize"
MAIZE,"183. WH20
2","WH2
02",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","Low potential
zones 0-1500
m.a.s.l",4.0-5.0,3-5," Tolerant to MSV,
Drought and Low
Nitrogen
 Cheaper option for
farmers
 Good 2nd season crop
in medium altitudes"
MAIZE,"184. WH00
2","WH0
02",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","0-1200 m.a.s.l
Coast and
Lowlands",4.5-5.5,5-7," Tolerant to MSV, GLS
and Blight
 Tolerant to Drought
and Low Nitrogen
 Suitable for 2nd
season planting"
MAIZE,"185. WH10
1","WH1
01",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","0-1500 m.a.s.l
Lowlands and
Transitional",3.5-4.5,4-5," Tolerant to MSV, GLS
and Blight
 Tolerant to Drought
and Low Nitrogen
 Suitable for 2nd season
planting"
MAIZE,"186. WH
105","WH
105",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","0-1500 m.a.s.l
Lowlands and
Transitional",3.5-4.5,3-4," Tolerant to MSV, GLS
and Blight
 Tolerant to Drought
and Low Nitrogen
 Suitable for 2nd season
planting"
MAIZE,"187. WSQ1
04","WSQ
104",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","0-1200 m.a.s.l
Lowlands and
Transitional",3-3.5,2-4," Quality protein maize
(QPM)
 Tolerant to MSV, GLS
and blight
 Tolerant to Drought."
MAIZE,"188. WS
303","WS
303",2010,"Western
Seed Co.
Ltd","Western
Seed Co. Ltd","0-1500 m.a.s.l
Low-Mid
altitudes wet",4-5,6," Tolerant to MSC, GLS
and Rust, Tolerant to
drought and Low
Nitrogen, Resistant to
Striga"
MAIZE,"189. KSH62
19","KSH6
219",2010,"Kenya
Seed Co.
Ltd","Kenya Seed
Co. Ltd",1500 - 2100,6-7,"10 –
15.5"," Resistant to grey leaf
spot
 Resistant to both root
and stem lodge
 Big semi – flint kernels"
MAIZE,"190. KSH52
7","KSH5
27",2010,"Kenya
Seed Co.
Ltd","Kenya Seed
Co. Ltd",1200 - 1500,4-5,8-10," Resistant to Grey leaf
Spot
 Resistant to Blight
 Resistant to rust"
MAIZE,"191. KS-
6505","KS-
6505",2010,"Kenya
Seed Co.
Ltd","Kenya Seed
Co. Ltd",1350-1700,6-7,6-8," Resistant to grey leaf
spot
 Excellent husk cover
 Flint kernels"
MAIZE,"192. KS-
6506","KS-
6506",2010,"Kenya
Seed Co.
Ltd","Kenya Seed
Co. Ltd",1350-1700,5-6,7.5-10," Resistant to Grey leaf
spot
 Short and resistant to
lodging"
MAIZE,"193. EMB
0702","KH52
3-1
LGB",2011,"KARI-
EMBU",KARI,1200-1800,4-5,6," Larger Grain Borer
(LGB) And Maize
Weevil Tolerant
 Post Harvest Insect
Pests Tolerant"
MAIZE,"194. EMB
0703","KH52
3-2
LGB",2011,"KARI-
EMBU",KARI,1200-1800,4-5,5, Stem Borer Resistant
MAIZE,"195. PEX
602","PAN
7M-
81",2011,"Pannar
Seed
(PTY) Ltd","Pannar Seed
(PTY) Ltd","Growing
areas:- Nyeri,
Kirinyaga,
Embu, Busia,
Siaya, Meru",4.0-4.5,6-7," Excellent standability,
Double cobber
 Excellent stay green
character"
MAIZE,"196. PEX
702","PAN
693",2011,"Pannar
Seed
(PTY) Ltd","Pannar Seed
(PTY) Ltd","1500-2000,
Growing
areas:-
Mumias,
Vihiga, Yala",4.5-5.0,8-9," Good on leaf
diseases(blight, msv,
GLS, rust)
 Big cobs/grains"
MAIZE,"197. PEX
703","PAN
8M-
93",2011,"Pannar
Seed
(PTY) Ltd","Pannar Seed
(PTY) Ltd","1700-2100,
Growing
areas:
Bungoma,
Webuye,
Kakamega.",5.0-5.5,9-10," Very good husk cover
 Good on cob rots"
MAIZE,198. H2801,"KS-
H622
0",2011,KSCo.,KSCo.,"Recommende
d in high
altitude areas
1500-2300
meters above
sea level,
where rain fall
lasts 5-8
moths, annual
rainfall above
850mm",6-8,-," A Double cross hybrid
 Resistant to ear-rots
 Tolerant to leaf blight,
rust and GLS"
MAIZE,199. H28P1,"KS-
PH7",2011,KSCo.,KSCo.,"Recommende
d to farmers in
lowland zones
1-1200 meters
above sea
level. Fits
bimodal
rainfall
pattern with
about 650-
800mm per
season.",4-5,-," A three-way cross
hybrid
 Heat tolerant
 Tolerant to leaf rust"
MAIZE,"200. KATEH
2007-
3","KH41
4-4
SBR",2011,"KARI-
KATUMA
NI",KARI,900-1600,4,4, Stem Borer Resistant
MAIZE,"201. SC05C
8575","SC
Tem
bo 75",2012,"Agri Seed
Co Ltd","Agri Seed Co
Ltd","1200 to 1800
(Kakamega
region)",5,8-10," Good standability
 Intermediate to Semi
dent
 Aerial disease
tolerance: GLS, HT,
RUST
 High shelling
percentage
 Wide adaptability
 Medium to late
maturity
 Good tip cover
 Tolerance of cob
diseases - Diplodia &
fusarium,High yields -
Average of 8-10
tonnes per Ha, MSV
tolerance"
MAIZE,"202. SC05C
8480","SC
Simb
a 63",2012,"Agri Seed
Co Ltd","Agri Seed Co
Ltd","900 to 1400
(Embu region)",4,7-10," Good standability,
Hard dent
Intermediate to Semi
dent
 Good tip cover, Mid
plant cob placement;
Aerial disease
tolerance: GLS, HT,
Rust
 High shelling
percentage;
 Good drought
tolerance;
 Tolerance of cob
diseases - diplodia &
fusarium
 MSV tolerance"
MAIZE,"203. MTPE
H2008
03","KH12
5-01
SG",2012,KARI,"KARI
Katumani",15-1600,4,6.2," Wide adaptation,
Staygreen, High yield,
resistance to GLS,
MSV"
MAIZE,"204. MTPE
H2008
04","KH12
5-02
MDR",2012,KARI,"KARI
Katumani",15-1000,4,6.4," High yield, resistance
to GLS, MSV"
MAIZE,"205. MTPE
H2008
05","KH12
5-03
SG",2012,KARI,"KARI
Katumani",15-1000,4,6.1," Drought Tolerant
 Resistance to GLS,
MSV, Staygreen"
MAIZE,"206. MTPE
H
0701","KH12
5-04
PhPR",2012,KARI,"KARI-
Mtwapa","Coastal
lowlands (0-
1000)",4-5,6," Postharvest pest
resistant (larger grain
borer and maize
weevil)"
MAIZE,"207. MTPE
H
0702","KH12
5-05
PhPR",2012,KARI,"KARI-
Mtwapa","Coastal
lowlands (0-
1000)",4-5,5," Postharvest pest
resistant (larger grain
borer and maize
weevil)"
MAIZE,"208. MTPE
H
0703","KH12
5-06
SBR",2012,KARI,"KARI-
Mtwapa","Coastal
lowlands (0-
1000)",4-5,6, Stem borer resistant
MAIZE,"209. DKC90
-89","DKC9
0-89",2012,"Monsant
o (K)
Limited","Monsanto
Inc.",900 -1700,3.5 - 4.5,7-10," High stable yield
 Profilic
 Good standability
 Good flint type quality
grain"
MAIZE,"210. ZE907
1","DKC9
0-53",2012,"Monsant
o (K)
Limited","Monsanto
Inc.",900-1800,4 -5,6-8," GLS tolerant, Profilic,
Exceptional grain
quality (flint)
 Yield stability,
 Good standability"
MAIZE,"211. PEX
501","PAN
4M-
15",2012,PANNAR,PANNAR,1200-1700,4.0-4.5,7-8," Very good tolerance
to leaf diseases-blight,
gls, rust, msv,
 Tolerance to cob rots
therefore more usable
ears
 Drought tolerant."
MAIZE,"212. PEX
704","PAN
6M-
55",2012,PANNAR,PANNAR,1500-2000,4.5-5.0,9-10," Good husk cover
 Excellent standability
 Good tolerance to leaf
diseases"
MAIZE,"213. X6C46
1W","P285
9W",2012,"Pioneer
Seeds","Pioneer
seed",1000 - 1600,3- 4,7-9," Excellent resistance to
gray leaf spot
 Very good stability
across environments
 Good performance in
drought conditions &
low nitrogen
environments
 Improved standability"
MAIZE,"214. X7A34
4W","P381
2W",2012,"Pioneer
Seed","Pioneer
Seed",1200 - 1800,4.5 - 5,9-11," Very good tolerance
to maize steak virus
 Excellent resistance to
gray leaf spot
 Improved yield and
grain quality
 Good standability"
MAIZE,"215. KAT02
1-13-
28","MITU
KI",2012,KARI/DSL,"Dryland
Seed Ltd","Low land (0-
1200 masl)",2.5,5-6," Early/Drought
Tolerant
 Torelant to GLS and
MSV"
MAIZE,"216. DH
902","KS-
DH15",2013,"Kenya
Seed Co.","Kenya Seed
Co.","1000-1500
m.a.s.l - Hill
masses of
Makueni ,
Kitui, Pokot,
Perkerra,
lower parts of
central",2.5-3,4-7," A three- way cross
hybrid, Early
 Drought tolerant
 Resistant to GLS,
blight and rust"
MAIZE,"217. KSDV0
8-2","KSD-
01",2013,"Kenya
Seed Co.","Kenya Seed
Co.","800-1300
m.a.s.l Arid
and sem arid
regions of
eastern,
central and
Rift valley.",2-3,4-6," Open pollinated
variety
 Early
 Drought, blight and
GLS tolerant"
MAIZE,"218. EASH9
02","MH4
01
‘TOS
HEKA
’",2013,"EAST
AFRICAN
SEED
COMPAN
Y","EAST
AFRICAN
SEED
COMPANY","Machakos,
Kitui, Mbeere,
Ishiara, Mwea,
Kibwezi,
Taveta",3-3.5,6-8," Very Good GLS , MSV ,
Rust and Turcicum
Leaf Blight resistant
 Moisture stress
(drought) tolerant
 Low Uniform Cob
Positioning (Ear
Placement)
 Ear drooping when
mature
 White semi dent
grains (kernels)
 Stay Green Trait
(Stover)"
MAIZE,"219. Masen
o
EH11","Mase
no
H140
1",2013,"Prof.
Mathews
Dida","Maseno
University/P
rof.
Mathews
Dida",1200 - 1600 m,4-4.5,8-12," Tolerant to Maize
Streak virus, Maize
Mosaic Virus, Grey
Leaf Spot, and
Turcicum leaf blight"
MAIZE,"220. Masen
o
EH10","Mase
no
H140
2",2013,"Prof.
Mathews
Dida","Maseno
University/P
rof.
Mathews
Dida",1300 -1700 m,4-4.5,8-11," Resistant to Maize
Streak Virus, Maize
Mosaic Virus, Grey
Leaf Spot, Turcicum
leaf blight
 Tolerant to acid soils"
MAIZE,"221. MU01
-016","KH50
0-
39A",2013,KARI,"KARI-
Muguga","Mid-High
Altitude
(1600-
1800):Kakame
ga, Bungoma,
Nandi, Trans
Nzoia",5-6,6-7," Mid-late maturity,
Resistant to MSV, GLS,
Blight
 Large sized cobs
 Intermediate-sized,
flinty, white grains."
MAIZE,"222. MU01
-009","KH50
0-
40A",2013,KARI,"KARI-
Muguga","Mid-High
Altitude
(1600-
1800):Kakame
ga, Bungoma,
Nandi, Trans
Nzoia",5-6,6-7," Mid-late maturity
 Resistant to MSV, GLS,
Blight
 Large sized cobs
 Large-sized, white
grains"
MAIZE,"223. MU01
-104","KH50
0-
41A",2013,KARI,"KARI-
Muguga","Medium
Altitude
(1400-
1600):Embu,
Kiambu, Nyeri,
Meru, Bomet,
Bungoma,
Siaya, Busia",4-5,5-6," Medium maturity
 Resistant to MSV, GLS,
Blight
 Medium sized cobs
 Intermediate-sized,
white grains; Dual
purpose (for food and
feed)."
MAIZE,"224. MU07
-010","KH50
0-
50A",2013,KARI,"KARI-
Muguga","Medium
Altitude
(1400-
1600):Embu,
Kiambu, Nyeri,
Meru, Siaya,
Bomet,
Bungoma,",4-5,6-7," Medium maturity
 Resistant to MSV, GLS,
Blight
 Medium-sized cobs
 Intermediate-sized,
flinty white grains"
MAIZE,"225. CKH11
0078","WE1
101
(Tum
aini-
1)",2013,"CIMMYT/
KARI
/AATF","CIMMYT-K /
KARI-
Katumani","Mid-altitude
areas of E. and
Western
Kenya, Rift
Valley, Lake
Victoria Basin",4.5,7.1," Tolerant to drought
 Resistant to MSV,
NCLB, and GLS
diseases"
MAIZE,226. SC727,"SC
TEM
BO
727",2013,"Agri Seed
Co Ltd","Agri Seed Co
Ltd",1200 to 1800,5,9-12," Good standability
 MSV tolerance
 High shelling
percentage"
MAIZE,"227. 05C36
2","SC
Simb
a 65",2013,"Agri Seed
Co Ltd","Agri Seed Co
Ltd",900 to 1400,4,7-10," Good standability
 Hard dent
(Intermediate to Semi
dent)
 Air borne disease
tolerance: GLS, HT,
Rust
 High shelling
percentage
 MSV tolerance"
MAIZE,228. SC529,"SC
Pund
a
Milia
529",2013,"Agri Seed
Co
Limited","Agri Seed Co
Ltd",600 to 1200,3.4-5,6-9," Good tip cover
 Tolerant to air borne
diseases - GLS, HT,
Rust"
MAIZE,"229. 06C41
00","SC
Dum
a 45",2013,"Agri Seed
Co
Limited","Agri Seed Co
Ltd",400 to 1200,3-3.5,6-9," Drought tolerance
 Tolerant to air borne
diseases - GLS, HT,
Rust"
MAIZE,"230. 07C32
67","SC
Dum
a 47",2013,"Agri Seed
Co
Limited","Agri Seed Co
Ltd",400 to 1200,3-3.5,6-9," Drought tolerance
 Tolerant to air borne
diseases - GLS, HT,
Rust"
MAIZE,"231. CKIR0
4002","PAM
UKA
2",2014,KARI,"KARI-
Katumani",1000 -1600,3.6 – 4.3,"3.5 –
5.0"," Open pollinated maize
variety
 Insect resistant to
maize stem borers
 Good standability
 Combines tolerance
to drought and low
soil nitrogen
 Moderately resistant
to maize streak virus
(MSV), Turcicum leaf
blight and Gray leaf
spot (GLS) diseases
 Has a good plant and
ear aspect
 Has flint to
intermediate grain
texture"
MAIZE,"232. CKIR0
4003","PAM
UKA
1",2014,KARI,"KARI-
Katumani",1000 -1600,3.5-4.3,4.5-6.5," Open pollinated maize
variety
 Insect resistant to
maize stem borers or
stalkborer
 Good standability
 Combines tolerance
to drought and low
soil nitrogen
 Moderately resistant
to maize streak virus
(MSV)
 Turcicum leaf blight
and Gray leaf spot
(GLS) diseases
 Has a good plant and
ear aspect
 Has mainly flint grain
texture, Has long ear
peduncle"
MAIZE,"233. 06C41
06","SC
PUN
DAM
ILIA
55",2014,"Agri Seed
Co Ltd","Agri Seed Co
Ltd",1000-1400,3-4,6-9," Highly tolerant to GLS
 Highly tolerant to
MSV
 High shelling
percentage
 Good husk / tip cover
 Moderately tolerant
to drought"
MAIZE,"234. 06C41
02","SC
Dum
a 49",2014,"Agri Seed
Co Ltd","Agri Seed Co
Ltd",800-1200,3-4,6-9," Highly tolerant to
drought
 Highly tolerant to
MSV
 High shelling
percentage
 Highly tolerant to
heat stress"
MAIZE,"235. 07C21
19","SC
Tem
bo 77",2014,"Agri Seed
Co Ltd","Agri Seed Co
Ltd",1200-1800,4.5-5.5,9-12," Highly tolerant to GLS
 Good husk / tip cover
 Good standability
hence reduced
lodging
 Uniform cob
placement
 High shelling
percentage"
MAIZE,"236. EASH9
06","MH5
01",2014,"East
African
Seed
Company
Limited","East African
Seed
Company
Limited",,4-5,7-9," Resistant to GLS (2),
Rust (1), MSV (2) and
TLB (1)
 White semi-dent
grains
 Uniform cob
placement (Good for
mechanized
operations)
 Good milling quality
 Strong stalks
(Reduced lodging)
 Stay green trait
(Stover)
 Ear drooping when
mature"
MAIZE,"237. 05C55
61","SC
SIMB
A 67",2014,"SEED CO
LTD","AGRI SEED
CO (K) LTD.",,4 – 4.5,6 – 7," Good tip cover
 Tolerance of cob
diseases - diplodia &
fusarium
 Good standability: this
is as a result of short
stature and strong
roots of this variety
 Moderately tolerant
to drought"
MAIZE,238. 05C7,"SC
TEM
BO
79",2014,"SEED CO
LTD","AGRI SEED
CO (K) LTD.",,4.5 – 5.5,8 – 10," Good standability due
to strong roots &
stalks hence low
lodging
 Tolerant to Grey Leaf
Spot and northern
leaf Blight
 Low and Uniform cob
placement hence
suitability for
mechanized farming
 High shelling
percentage: Most of
the cob is usable."
MAIZE,"239. 04C34
48","SC
DUM
A
413",2014,"SEED CO
LTD","AGRI SEED
CO (K) LTD.",,3 - 3.5,5 – 7," Tolerant to drought
and heat
 Tolerant to MSV;
Blight and GLS
 High shelling
percentage
 Good tip cover
 Good standability."
MAIZE,"240. DK681
5","DK68
15
(EH6
716)",2014,"Monsant
o",Monsanto,,3-4,6-8," Yellow maize variety
 Good standability
 Early maturing,
medium tall to short
in stature
 Low ear placement,
Fixed girthy ear with
very deep kernels and
high number of kernel
rows
 Very well adapted to
high plant density
 Good heat stress
tolerance"
MAIZE,"241. EH102
73","KH60
0-25",2015,KALRO,"KALRO-
Kitale","Mt. Elgon
slopes, Trans-
Nzoia, West
Pokot, Uasin
Gishu, Nandi,
Greater
Kericho, Nyeri,
Laikipia,
Nyandarua,
Kakamega,
Nakuru,
Bungoma,",6-8,"9.5-
13.0"," Well established roots
 Strong stalks, Less
rotting
 Resistance to blight,
rust and GLS
 Tasty (Boiled or roast)
 Top cross- hence wide
genetic base"
MAIZE,"242. EH102
71","KH60
0-26",2015,KALRO,"KALRO-
Kitale","Mt. Elgon
slopes,Trans-
Nzoia, West
Pokot, Uasin
Gishu, Nandi,
Greater
Kericho, Nyeri,
Laikipia,
Nyandarua,Ka
kamega,
Nakuru,
Bungoma",6-8,"10.85-
14.5"," Well established roots
 Strong stalks
 Less rotting
 Good husk cover
 Resistance to
blight,rust and GLS
 Early maturity
 Reduced ear height"
MAIZE,"243. EH112
71","KH60
0-27",2015,KALRO,"KALRO-
Kitale","Mt. Elgon
slopes,Trans-
Nzoia, West
Pokot, Uasin
Gishu, Nandi,
Greater
Kericho, Nyeri,
Laikipia,
Nyandarua,Ka
kamega,
Nakuru,
Bungoma",6-8,"10.9-
14.8"," Well established roots
 Strong stalks
 Less rotting
 Resistance to blight,
rust and GLS
 Drooping ears
 Top cross- hence wide
genetic base"
MAIZE,"244. FRC
425IR","FRC
425I
R",2015,Freshco,"Freshco/CI
MMYT","Siaya, Homa
Bay, Busia,
Kisumu,
Migori, parts
of Kakamega
and Bungoma
that are
infested with
the striga
weed.",3-4,5-6," Resistant to Imazapyr
herbicide that kills
Striga weed therefore
it is specially
developed to be
grown in striga weed
prone areas
 It is an early maturing
variety"
MAIZE,"245. KATEH
2011-
01","KDH4
14-
05
(Uka
mez-
1)",2015,KALRO,"KALRO-
Katumani","800-1600
Metres a.s.l,
Dry Mid
Altitude and
Transitional
maturity
adaptation.",3.6-4.5,4.9-9.4," Wide adaptation
 Stay-green
 Resistance to GLS,
MSV
 Good ear cover
 Good standability"
MAIZE,"246. KATEH
2011-
04","KDH4
14-
06(U
kame
z-2)",2015,KALRO,"KALRO-
Katumani","800-1600
Metres a.s.l:
Dry Mid
Altitude and
Transitional
and Drought-
prone areas of
Eastern
Kenya.",3.6-4.5,4.5-7.0," Single cross Hybrid
 Wide adaptation
 Stay-green
 Resistance to GLS,
MSV
 Good ear cover
 Good standability
 Good plant and ear
aspects"
MAIZE,"247. KATEH
2011-
05","KDH4
14-
07(U
kame
z-3)",2015,KALRO,"KALRO-
Katumani","800-1600
Metres
a.s.l:Dry Mid
Altitude and
Transitional
and Drought-
prone areas of
Eastern Kenya",3.6-4.5,4.4-9.3," Drought tolerant
 Three-way Hybrid
 Resistance to GLS,
MSV
 Good ear cover
 Good husk cover
 Good plant and ear
aspects"
MAIZE,"248. KATEH
2011-
07","KDH4
14-
08
(Uka
mez-
4)",2015,KALRO,"KALRO-
Katumani","800-1600
Metres
a.s.l:Dry Mid
Altitude and
Transitional
and Drought-
prone areas of
Eastern Kenya",3.6-4.5,4.6-8.2," Drought tolerant
 Three-way Hybrid
 Resistance to GLS,
MSV
 Good ear cover
 Good husk cover
 Good plant and ear
aspects"
MAIZE,"249. KATEH
2011-
10","KDH4
14-
09
(Uka
mez-
5)",2015,KALRO,"KALRO-
Katumani","800-1600
Metres
a.s.l:Dry Mid
Altitude and
Transitional
and Drought-
prone areas of
Eastern Kenya",3.6-4.5,3.5-5.0," Drought tolerant
 Three-way Hybrid
 Resistance to GLS,
MSV
 Good ear cover
 Good husk cover
 Heat sensitive"
MAIZE,"250. DSLH1
03","SAW
A",2015,"CIMMYT/
DSL","Dryland
Seed Ltd","transitional
areas/Altitude
700-1400 m
asl",3.6-4,6-8," Drought tolerance
 GLS & MSV resistant
 Semi-dent white grain"
MAIZE,"251. WE21
06","WE2
106",2015,"AATF/CI
MMYT","KALRO/CIM
MYT","Recommende
d for growing
in the
transitional
region of
lower and
upper eastern,
central and
Nyanza
regions",4.5-5,4.7-9.1," Drought tolerant
 Good husk cover
 Resistant to GLS and
northern Leaf bright
 Resistant to Maize
streak virus (MSV)
 Dent grain texture"
MAIZE,"252. WE21
10","WE2
110",2015,"AATF/CI
MMYT","KALRO/CIM
MYT","Recommende
d for growing
in the
transitional
region of
lower and
upper eastern,
central and
Nyanza
regions",4.5-5.0,4.2.-9.1," Drought tolerant
 Good husk cover
 Resistant to GLS and
northern Leaf bright
 Resistant to Maize
streak virus (MSV)
 Flint-like grain
texture"
MAIZE,"253. WE21
11","WE2
111",2015,"AATF/CI
MMYT","KALRO/CIM
MYT","Recommende
d for growing
in the coastal
region
(Fundisa,
Kikonni,
Mariakani,
Mpeketoni
and Mtwapa)
of Kenya",4.5-5.0,4.7-8.7," Drought tolerant
 Good husk cover
 Resistant to GLS and
northern Leaf bright
 Resistant to Maize
streak virus (MSV)
 Dent grain texture"
MAIZE,"254. WE21
09","WE2
109",2015,"AATF/IM
MYT","KALRO/CIM
MYT","Dry Mid
altitude and
transitional
maturity
adaptation.
Recommende
d for growing
in the coastal
region
(Fundisa,
Kikonni,
Mariakani,
Mpeketoni
and Mtwapa)
of Kenya",4.5 -5.0,4.8-9.2," Drought tolerant
 Good husk cover
 Resistant to GLS and
northern Leaf bright
 Resistant to Maize
streak virus (MSV)
 Dent grain texture"
MAIZE,"255. 10C32
53","SC
Sung
ura
301",2015,"AGRI
SEED CO
LIMITED","AGRI SEED
CO LIMITED","Altitudes of
between 300
– 1200 m.a.s.l
e.g.; Makueni
Machakos,
Kitui, Thika,
Meru, Embu,
isiolo, Kisumu,
Siaya, Busia,
Homabay,
Baringo e.t.c.",3,4.8," Ultra early, Good husk
/ tip cover hence
reduced ear rots
 GLS tolerance lodging
 High shelling
percentage"
MAIZE,"256. PEX
4405","PAN
3M-
01",2015,"PANNAR
SEED
(PTY) LTD","PANNAR
SEED
(PTY)LTD","900-1400 m
ASL",3-3.5,4.8," Very early
 Good husk cover
 Good standability
 Flint
 Tolerant to leaf
diseases"
MAIZE,"257. PEX
5503","PAN
6777",2015,"PANNAR
SEED
(PTY) LTD","PANNAR
SEED
(PTY)LTD","1200-1800m
ASL",4-5,7.1," Good standability
 Double cobber
 Ear rot and rust
tolerant
 Widely adaptable"
MAIZE,"258. MU07
-018","KH50
0-
51A",2015,KALRO,"KALRO
MUGUGA","Altitude:1400-
1600 m ASL
Embu,
Kiambu, Nyeri,
Meru, Bomet,
Bungoma,
Vihiga, Siaya",5-6,6.51," MSV, blight and GLS
resistant
 Flint like to
intermediate grains
 Medium to large sized
cobs
 White grains"
MAIZE,"259. EMB2
25","K-
BEST",2015,KALRO,"KALRO
EMBU","Zones:UM1-
UM4,
Altitude:1000-
1800 m ASL,
Embu,
Kirinyaga,
Nyeri,
Kakamega,
Homabay,
Kisii, Kiambu,
Vihiga, Kwale,
Meru",3-4,4.63," Blight,rust, MSV
resistant"
MAIZE,"260. EMB2
26","EMB
U
POA",2015,KALRO,"KALRO
EMBU","Zones:(UM1-
UM4),
Altitude;1200-
1800 m ASL,
Embu,
Kirinyaga,
Nyeri,
Kakamega,
Homabay,
Kisii, Kiambu",3-4,6.51," Good husk cover
 Stay green
characteristic
 Tolerant to blight"
MAIZE,"261. MU08
-005","KH50
0-
52A",2015,KALRO,"KALRO
MUGUGA","Altitude:1200-
1400 m ASL,
Kangundo,
Muranga,
Thika, Mwea,
Embu, Homa
Bay, Bomet,
Kirinyaga,
Meru, Narok",4-5,4.39," Early maturing
 MSV, blight and GLS
resistant
 Drought tolerant
 Flint like to
intermediate grains"
MAIZE,"262. MU10
-010","KH50
0-
53A",2015,KALRO,"KALRO
MUGUGA","Altitude:1200-
1400 m ASL,
Kangundo,
Muranga,
Thika, Mwea,
Embu, Homa
Bay, Bomet,
Meru,
Kirinyaga,
Narok",4-5,5.05," Early maturing, MSV,
blight and GLS
resistant
 Drought tolerant
 Flint like to
intermediate grains"
MAIZE,"263. WE21
01","WE2
101",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Mid altitude
Areas of
Kenya",4.5,6.91," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
